,	，
qm;	戕
qmq	阡
qn	群
qnm	屈
qo	情
qo,	穷
qo.	悛
qo/	骞
qo;	窃
qof	悄
qofy	憔
qofz	恰
qoh	惬
qoi	慊
qoj	窍
qon	穹
qoq	搴
qoqd	愀
qov	怯
qoy	寝
qoyt	褰
qp	请
qp/	綮
qpe	祈
qpf	诠
qpfc	诮
qpfy	谯
qpg	谴
qpi	谦
qpj	祺
qpl	启
qpm	祁
qpmg	诎
qpn	裙
qpnb	襁
qpq	讫
qpqr	啟
qpt	祗
qpv	祛
qq	气
qq.	氢
qqb	乞
qqf	签
qqfh	筌
qqh	氰
qqha	箐
qqhi	箧
qqi	秋
qqj	筇
qqn	缺
qqnh	犍
qqp	迁
qqpo	憩
qqpv	迄
qqu	箝
qqw	乔
qqx	千
qr	郄
qs	晴
qt	欠
qt,	劬
qth	鲭
qtj	鳍
qtn	卿
qtq	鳅
qtt	犰
qttp	鸲
qu	抢
qu.	阕
quf	擒
qug	阒
qui	阙
qup	掮
quq	撬
quqx	扦
qut	掐
quz	揿
qv	去
qve	圻
qvj	墙
qvja	趣
qvm	却
qvt	趋
qw	泉
qw,	鼽
qwj	丘
qwk	躯
qwm	邱
qx	权
qxf	枪
qxfy	樵檎
qxg	桤
qxj	棋
qxj,	栖
qxji	樯
qxk	槭
qxn	杞
qxp	榷
qxq	桥
qxq;	橇
qxqd	楸
qy	亲
qy,	妾
qy,l	瘸
qy.	弃
qy;	凄
qya	敲
qyf	痊
qyg	癯
qyj	麒
qyk	庆
qyq	旗
qyw	齐
qz	钱
qzf	铨
qzfp	钤
qzh	锲
qzha	锖
qzj	钳
qzn	镪
qznl	锓
qzq	锹
qzqx	钎
qzt	铅
qztf	钦
qzy	锵
r	人
r,	如
r,;	娆
r,p	忍
r,q	妊
r,v	刃
r.	柔
r/	绕
r/,	纫
r/h	绒
r/k	缛
r;	软
r;,	轫
r;k	戎
ra	睿
rb	若
rb,	茹
rb;	荛
rbf	荏
rbg	芮
rbga	苒
rbj	茸
rbk	蓐
rbk,	蕤
rbl	薷
rbo	蓉
rbp	惹
rbpo	蕊
rbx	荣
rc	润
rc,	汝
rc,z	洳
rck	溽
rcl	濡
rco	溶
rcx	染
rd	朊
rde	肜
rf	任
rf,	仍
rf,v	仞
rfb	偌
rfh	仁
rfl	儒
rg	肉
rga	冉
rgb	嵘
rgbp	蝾
rgg	蚋
rgga	蚺
rgl	蠕
rh	瑞
rh,	韧
ri	熔
ri.	糅
rit	燃
rj	髯
rj.	鞣
rk	辱
rl	嚷
rl.	蹂
rlk	颥
rll	嚅
rm	阮
rml	孺
rn	弱
ro	容
rp	让
rpf	认
rpk	褥
rpl	襦
rpq	衽
rpt	冗
rpy	禳
rq	稔
rqa	壬
rqb	箬
rqy	穰
rr	入
rrb	乳
rs	日
rt	然
rt;	饶
rth	狨
rtq	饪
ru	热
ru,	扔
ru.	揉
ruh	闰
ruk	扰
ruy	攘
rv	壤
rx	榕
rx;	桡
rxg	枘
ry	瓤
rz	融
rz,	铷
rzi	锐
rzo	镕
s	是
s,	始
s,,	劭
s,.	姒
s,k	娠
s,l	孀
s,m	邵
s,o	婶
s,p	恕
s,q	姝
s,t	姗
s,tv	妁
s,w	嫂
s,y	嬗
s.	厶
s..	双
s.h	叁
s.k	颡
s.q	毵
s.v	圣
s.x	桑
s/	书
s/,	绍
s/.	骚
s/.m	纾
s//	缫
s/d	纱
s/f	绱
s/g	驶
s/gh	绅
s/gj	缌
s/gt	驷
s/i	缮
s/l	绳
s/o	缩
s/p	骟
s/r	绥
s/ri	绶
s/t	鸶
s/z	丝
s;	式
s;f	输
s;h	轼
sa	上
sa.	叔
sb	苏
sb,	苕
sba	苫
sbaj	菽
sbc	莎
sbg	薯
sbh	蒜
sbi	薮
sbi;	蒴
sbj	葚
sbjk	蓍
sbjn	蔌
sbm	萨
sbmj	蔬荪
sbr	荽
sbs	莳
sbt	芍
sbt.	芟
sbw	虱
sbx	菘
sby	蓑
sbyi	莘
sc	深
sc,	涩
sc,z	娑
sc.	渗
sca	涉
scaj	淑
scd	沙
scg	汕
scgh	濉
scgt	泗
sci	溯
scj	洒
scja	澌滠
scjn	漱涑
scjr	沭
scjz	澍
sck	泷
scn	涮
scnb	汜
sco	渖
scp	沈
scq	挲
scqd	潲
scs	湿
sct	鲨
scw	溲
scx	淞
scxx	潸
scy	裟
sd	少
sdf	腧
sdg	省
sdgh	胂
sdgj	腮
sdgx	帅
sdi	膳
sdj	师
sdl	臊
sdq	胜
sdr	脎
sdy	膻
se	所
sef	艄
seg	舢
sei	艏
sew	艘
sf	使
sf.	似
sf.m	舒
sfd	倏
sfds	俞
sfg	伸
sfgf	赏
sfgj	畲
sfgl	尚
sfh	舍
sfhd	佘
sfhz	仨
sfi	伞
sfig	僧
sfih	餸
sfj	什隼
sfja	耸
sfjm	僳
sfjz	仕
sfl	售
sfp	食
sfpo	怂
sfq	伤
sfq;	毹
sfr	俗
sft	歙
sfv	侍
sfw	傻
sg	水
sg.	睃
sgd	蛳
sgf	赊
sgfy	睢
sgh	申
sgi	蟮
sgj	署
sgj.	赎
sgk	史
sgkj	髓
sgo	蛇
sgp	思
sgq	睡
sgqs	嵊
sgr	瞬
sgt	兕
sgtv	岁
sgtg	蜀
sgtk	赡
sgtz	四
sgv	墅
sgvj	峙
sgvv	眭
sgw	瞍
sgw;	螋
sgx	山
sgxr	崧
sgy	嵩
sgy/	蟀
sh	三
sh/	素
shd	示
shf	琐
shg	耜
shj	寿
shp	瑟
sht	珊
si	数
si.	羧
si.k	糁
si;	烧
sid	朔
sig	兽
sii	燧
sik	首
sikl	炻
sil	善
sim	鄯
sip	送
sipk	煽
sipv	遂
sis	剡
sit	烁
siv	塑
six	槊
siy	熵
sj	十
sj,	丧
sj,v	甚
sj.	酸
sj/	索
sja	世
sje	斯
sjg	贳
sjgl	啬
sji	粟
sjj	酾
sjm	声
sjn	事
sjnh	肆
sjnx	束
sjp	速
sjq	散
sjqd	酥
sjr	术
sjz	士
sk	死
sk,	耍
sk,c	豕
sk.	磉
sk;	厍
skd	砂
skg	蜃
skgh	砷
ski	爽
skj	奢
skja	厮
skjg	殖
skk	硕
skp	戍
skq	殊
skq,	殇
sks	卅
sky	碎
sl	虽
sl.	嗓
sl.r	唆
sl.t	吮
sl/	咝
sla	嘘
sle	嘥
slf	啥
slfc	哨
slfw	唢
slg	呻
slh	嗉
sli	嗍
slj	嘶
slj,	哂
sljk	嗜
sljn	嗽
sljp	嗦
sln	唰
slnl	嗣
slo	噻
slq	噬
sls	嗮
slt	跚
slw	嗖
slx	霜
sly	霎
sly,	嗾
slyi	唼
sm	收
smd	孙
smh	祟
smi	隧
smk	随
smkj	隋
sml	陕
smy	疏
sn	属
snb	巳
snc	尸
sni	屎
snj	肃
snl	司
sns	刷
so	赛
so;	室
sof	宿
sog	审
soh	愫
soj	守
soja	慑
sojg	慎
sojn	悚
soo	实
sop	邃
sor	忪
sov	塞
sovj	恃
sox	宋
sp	说
sp.	扇
sp.g	诵
spe	诉
spec	衫
spf	谁
spg	神
spgj	谡
spgt	视
spgx	讪
sph	试
spi	谥
spl	识
spn	祀
spq	诜
spr	讼
spt	设
spv	社
spvj	诗
spy	谇
sq	生
sq.	私
sqd	筛
sqf	稍
sqfc	筲
sqff	黍
sqg	算
sqgh	眚
sqgj	甥
sqi	税
sqj	手
sqjf	筮
sqji	穑
sqjn	簌穗
sqjr	秫
sqk	失
sqkv	矢
sql	舌
sqn	笋
sqnl	笥
sqnm	矧
sqq	牲
sqqj	笙
sqs	剩
sqt	舐
sqtf	歃
sqw	升
sr	受
sr.	释
srh	弑
srj	杀
srk	颂
srt	舜
ss	时
ssd	肾
ssg	曙
ssj	晒
ssjk	暑
ssw	晌
ssy	竖
st	色
st,	鲺
st.	殳
st.r	狻
st.u	鳋
st;	氏
std	狮
stf	猞
stfp	飧
stg	蚀
stgj	鳃
sth	甩
sti	鳝
stj	馓
stjn	觫
stk	夙
stm	狲
stn	饲
sto	煞
ston	狩
stq	饰
stq,	觞
stqd	稣
sts	删
stsj	鲥
stv	勺
stw	馊
stw;	飕
su	拾
su,	势
su.	抒
su..	搡
su.u	搔
sua	摅
sue	折
suf	闪
sufc	捎
sufh	拴
suh	拭
sui	擞
sui;	搠
suj	摄
suja	撒撕
sul	损
sun	扫
sup	逝
supk	搧
sur	授
suw	搜
suy	摔
suyg	擅
suyh	誓
suz	闩
sv	寺
svg	螫
svn	埽
svq	赦
svs	埘
svw	垧
svw;	埏
svy	墒
sw	身
sw.	叟
sw.p	鼠
swj	射
swk	顺
sx	松
sx.	树
sx.r	梭
sxc	桫
sxe	杉
sxf	梢
sxfh	栓
sxfy	榫
sxj	椹
sxk	枢
sxp	述
sxt	栅
sxx	森
sxy	梳
sxyg	柿
sy	市
sy,	孰
sy,l	韶
sy.	瘙
syc	痧
syg	商
sygh	衰
sygx	疝
syj	庶
syjn	竦
syn	麝
syo	熟
syq	施
syt	飒
syv	塾
syw	瘦
syx	凇
sz	锁
sze	钐
szg	锶
szr	铩
szt	铯
sztd	铄
szw	锼
szy	铈
t	他
t,	她
t,g	帑
t,p	迢
t,y	婷
t.	通
t.i	炱
t.l	台
t.m	邰
t/	统
t/k	彖
t/o	驼
t/s	缇
t/t	绦
t;	屯
t;p	忒
ta	凸
ta,	龆
tap	忐
tb	萄
tb.	苔
tb;	薹
tb;;	荑
tbd	藤
tbf	荼
tbg	茼
tbgr	氹
tbgs	萜
tbq	莛
tbt	菟
tby	葶
tc	涛
tc,	汤
tc.	滩
tcf	涂
tcfw	淌
tcg	湍
tcgj	漯
tch	添
tci	烫
tcin	涕
tcj	汀
tcjm	潭
tck	汰
tco	沱
tcr	滔
tcr;	洮
tcs	溻
tct	淘
tcy	溏
tcyi	潼
td	脱
td.	胎
tde	腯
tdf	膛
tdg	腆
tdi	腾
tdih	滕
tdk	肽
tdk,	豚
tdn	腿
te	徒
teq	艇
tf	体
tff	偷
tffr	傥
tfg	贪
tfgr	氽
tfj	仝
tfl	堂
tflx	棠
tfo	佗
tfp	途
tfr	佻
tft	倜
tfto	佟
tfy	停
tfyi	僮
tg	团
tg;	囤
tga	贴
tgal	帖
tgf	螳
tgi	蜕
tgj	田
tgk	炭
tgq	蜓
tgqr	畋
tgr	眺
tgt	图
tgt.	骰
tgtv	蜩
tgy	瞳
tgyi	疃
tgyt	螗
tgz	同
th	天
thd	忝
thf	泰
thfw	耥
thl	吞
thr	韬
ths	替
thy	瑭
ti	糖
ti.	烃
tig	羰
tim	郯
tin	煺
tis	剃
tit	鹈
tiy	誊
tj	忑
tj,	髫
tjf	酴
tjg	酮
tjk	酞
tjkl	橐
tjo	酡
tjs	醍
tjy	醣
tk	太
tka	套
tkf	餮
tkfe	殄
tkfj	砼
tkg	碳
tkj	厅
tko	砣
tkp	态
tl	听
tl,	趿
tl.	叹
tl.g	嗵
tl.l	跆
tlf	饕
tlg	踏
tlgj	鼍
tlj	嚏
tlo	跎
tlq	唾
tlqa	霆
tlr	跳
tls	踢
tls.	蹋
tlt	啕
tlv	吐
tly	啼
tlyi	蹄
tm	陶
tmi	粜
tmo	陀
tn	退
tnd	臀
tnj	屠
tnja	屉
to	它
toh	恸
toi	悌
tok	头
toko	突
toq	恬
tor	窕
tos	惕
tp	谈
tpj	讨
tpjm	谭
tpn	褪
tpr	祧
tps	袒
tpst	裼
tq	特
tq,	笤
tq.	廷
tqb	乇
tqg	筒
tqh	舔
tqi	毯
tqj	甜
tqk	颓
tqp	透
tqt	秃
tqu	箨
tr	逃
tr,	妥
trj	鼗
ts	题
tsh	昙
tsp	遢
tss	剔
tsy	暾
tt	条
tt,	饧
tt.	鲐
tt;	饨
tte	彤
ttg	兔
ttj	獭
tto	鸵
ttp	逖
tts	鳎
ttt	鲦
tu	投
tu.	抬
tu.f	摊
tu.g	捅
tuf	推
tuh	抟
tuhr	掭
tuj	阗
tuk	拓
tuko	挞闼
tup	探
tuq	托
tuqa	挺
tuqm	拖
tur	挑
tut	掏
tuy	搪
tv	土
tvf	趟
tvh	坛
tvj	填
tvo	坨
tvs	坦
tvs.	塌
tvt	坍
tvtg	堍
tvy	塘
tw	躺
tx	桶
txe	柝
txf	樘
txg	桐
txi	梯
txm	椭
txq	梃
txr	桃
txs	榻
txy	檀
ty	痛
ty.	瘫
tyg	童
tyi	痰
tyj	亭
tyja	庹
tyn	唐
tyq	庭
tyt	疼
tz	铁
tz;	铽
tzc	铴
tzf	镗
tzg	铜
tzi	锑
tzii	锬
tzk	钛
tzo	铊
tzp	慝
tzs	钽
tzv	钍
u,	放
u.	难
u/	呀
u;	倒
ua	则
ub	吧
uc	重
ud	第
ue	很
uf	化
ug	由
uh	于
ui	首
uj	及
uk	科
ul	里
um	母
un	建
uo	头
up	排
uq	区
ur	认
us	四
ut	同
uu	角
uv	种
uw	我
ux	系
uy	以
uz	总
v	这
w	为
w,	娃
w,h	妩
w,l	娲
w,n	娓
w,o	婉
w,v	丸
w.	鹜
w.,	婺
w./	骛
w/	维
w/,	纨
w/h	纬
w/k	毋
w/o	绾
w/y	纹
w;	瓦
w;g	辋
wa	龌
wb	薇
wb,	芄
wbh	苇
wbht	芜
wbk	葳
wbl	莴
wbn	蔚
wbo	菀
wbq	萎
wbr	蓊
wbt	芴
wby	蕹
wc	温
wc/	潍
wcf	鋈
wcg	渭
wcgh	涠
wch	污
wcha	汪
wci	沩
wcj	浯
wck	洧
wcn	渥
wcq	沃
wcv	洼
wcy	湾
wcyr	汶
wd	腕
wdh	肟
wdo	脘
wds	腽
we	往
weg	微
wen	艉
wf	位
wf;	佤
wfg	偎
wfh	伟
wfi	伪
wfj	伍
wfq	侮
wfqd	倭
wfqj	仵
wg	围
wg;	畏
wgd	胃
wgf	帷
wgh	帏
wgi	罔
wgk	崴
wgl	蜗
wglh	蜈
wgn	幄
wgo	蜿
wgo,	畹
wgp	遗
wgq	巍
wgr	网
wgv	蛙
wgw	嵬
wgy	蚊
wgz	囗
wh	无
wha	王
whaa	武
whd	未
whh	玩
whhm	玮
whk	顽
whm	韦
who	琬
whp	违
wht	鹉
wi	烷
wig	煨
wih	炜
wij	焐
wj	五
wjf	卧
wjff	巫
wjfo	斡
wjl	吾軎
wk	威
wk,	戊
wkb	兀
wkj	歪
wko	碗
wkq	硪
wl	味
wlb	嚄
wlf	唯
wlg	喂
wlh	吴
wlr	嗡
wlt	雾
wlte	吻
wltn	呜
wlv	哇
wly	雯
wm	卫
wmg	隈
wmk	阢
wn	尾
wn;	屋
wnj	尉
wnp	慰
wo	完
wof	惟
wog	惘
woh	怃
woj	悟
wol	窝
wom	寤
woo	惋
woq	忤
wos	剜
wot	宛
wp	误
wpg	谓
wph	袜
wpj	诬
wpq	诿
wq	我
wq,	委
wqj	午
wqjn	牾
wqp	逶
wqpv	迕
wqt	物
wqtn	稳
wqty	舞
wqw	魏
wr	翁
wr;	瓮
ws	晚
wsh	旺
wshm	韪
wsj	晤
wt	外
wt,	务
wt/	危
wte	勿
wtg	猥
wtgj	猬
wtk	鲔
wtm	邬
wtn	乌
wts	刎
wu	问
wuh	闱
wuj	闻
wujn	捂
wujo	挝
wun	握
wuo	挖
wur	阌
wus	揾
wut	挽
wv	圩
wvh	圬
wvt	坞
ww	皖
wwg	魍
wwh	璺
wwj	鼯
wx	枉
wxj	梧
wxk	杌
wxt	桅
wy	文
wy,	妄
wy/	紊
wyb	亡
wyf	於
wyh	望
wyht	庑
wyj	痦
wyn	弯
wyp	忘
wyq	痿
wys	瘟
wz	豌
wzt	钨
x	学
x,	姓
x,/	絮
x,g	勰
x,i	嫌
x,j	嬉
x,m	婿
x,s	旭
x,u	娴
x,w	媳
x.	习
x.o	熊
x/	线
x/;	骁
x/c	乡
x/f	绡
x/fp	飨
x/g	细
x/j	续
x/ja	绁
x/jk	绪
x/jz	缬
x/p	巡
x/q	绣
x/t	绚
x/w	驯
x/x	缃
x/y	骧
x;	邪
x;g	匣
x;h	轩
x;o	辖
xa	些
xas	虚
xb	芯
xb/	芗
xbe	荇
xbes	蓰
xbf	莶
xbg	苋
xbgj	葸
xbgr	荥
xbj	蕈
xbk	薤
xbn	萧
xbnb	芎
xbo	萱
xbob	蓿
xbq	薰
xbt	荀
xbtg	藓
xbw	薛
xbx	葙
xbxe	菥
xby	蓄
xbyi	薪
xc	消
xca	瀣
xcb	潇
xcf	溆
xcj	泄
xcja	渫
xcn	汛
xcnh	浔
xco	渲
xcp	泻
xcq	洗
xcr	淆
xcri	溪
xcrk	浠
xcrm	汹
xct	汐
xcts	洵
xcw	涎
xcwm	洫
xcwn	溴
xcx	湘
xcxe	淅
xcy	漩
xcy/	泫
xd	小
xd,	胁
xds	腥
xdt	胸
xdw	腺
xdx	膝
xe	须
xea	徙
xee	循
xef	徐
xej	舾
xet	欣
xets	徇
xey	舷
xez	衔
xf	修
xf.	叙
xf.;	翕
xf;	偕
xfd	肖
xff	鑫
xfg	仙
xfgs	儇
xfj	僖
xfl	侠
xfo	斜
xfp	逍
xfs	削
xft	像
xftp	鸺
xfx	休
xfy	信
xg	县
xg,	勖
xgf	蛸
xgg	岘
xggj	岫
xggt	蚬
xgh	盱
xgj	黠
xgl	峡
xgo	瞎
xgp	悬
xgr	崤
xgrq	蟋
xgs	蝎
xgt	峋
xgtg	蟓
xgw	螅
xgx	蜥
xgy	眩
xh	现
xhe	形
xhk	顼
xhm	邢
xhn	瑕
xhs	刑
xhv	型
xhy	璇
xi	炫
xi.	翔
xig	籼
xij	粞
xim	羞
ximk	糈
xio	煊
xiq	羲
xir	烯
xit	鲞
xiw	熄
xiy	羡
xiz	烜
xj	下
xj,	协
xj,b	西
xjf	靴
xjfx	髹
xjg	觋
xji	喜
xjk	项
xjko	献
xjm	孝
xjmk	醑
xjo	熙
xjoo	熹
xjq	馨
xjqa	酰
xjqg	醺
xjr	酗
xjs	昔
xjsq	醒
xjv	鞋
xjy	醯
xk	雄
xk;	戌
xkf	硝
xkg	夏
xkh	硎
xki	燹
xkj	硒
xkk	厦
xkl	硖
xko	碹
xkt	殉
xktv	矽
xkx	厢
xky	袭
xkz	咸
xl	需
xl,	吸勋
xl;	哓
xlf	霄
xlft	喺
xlfx	咻
xlh	吁
xli	躞
xlj	嘻
xlja	霰
xljk	哮
xln	雪
xlna	霞
xlnj	啸
xlo	喧
xlq	跹
xlqa	跣
xlr	唏
xlt	兄
xlw	响
xlwn	嗅
xm	限
xm.	陉
xmd	胥
xmdv	隙
xmf	险
xmp	逊
xms	隰
xmt	陷
xn	屑
xne	屣
xnf	犀
xnj	寻
xnja	巽
xnp	迅
xnpv	遐
xny	弦
xo	性
xoe	忻
xof	宵
xog	泶
xoj	惜
xoq	兴
xoqa	宪
xor	穴
xos	惺
xot	懈
xots	恂
xotv	穸
xov	悻
xow	恤
xoy	窨
xoz	宣
xp	心
xp.	诩
xp;	写
xp;t	谐
xpa	谑
xpg	袖
xpgs	禤
xph	祆
xphj	禊
xpi	详
xpih	祥
xpj	禧
xpn	讯
xpq	许
xpr	谖
xpt	询
xpw	谢
xpwx	训
xq	先
xq,	秀
xqa	罅
xqf	筱
xqg	氙
xqj	牺
xqm	卸
xqn	箫
xqo	熏
xqp	选
xqq	笑
xqqa	筅
xqr	稀
xqs	香
xqx	箱
xr	凶
xr/	奚
xr;	兮
xrf	貅
xrk	希
xrm	郗
xrp	悉
xrt	欷
xs	显
xs;	晓
xse	昕
xsg	贤
xsi	曦
xsn	暇
xso	煦
xson	暄
xsp	暹
xsq	星
xsqg	曛
xst	歇
xsx	晰
xt	象
xtf	猃
xtg	蟹
xtgh	狎
xth	玺
xti	鲜
xtih	馐
xtl	狭
xtlm	鳕
xtn	鲟
xtp	邂
xtq	饩
xtqg	獯
xtr	匈
xts	旬
xtsq	猩
xtt	馅
xttt	獬
xtv	夕
xtw	饷
xtx	枭
xu	闲
xue	掀
xuf	携
xuj	撷
xul	踅
xuo	揎
xut	鹇
xuw	擤
xuw;	阋
xv	幸
xva	墟
xvl	埙
xw	向
xw,	囟
xwf	魈
xwi	衅
xwm	血
xwp	息
xwr	鼷
xwt	舄
xx	想
xx.	栩
xx;	朽
xxe	析
xxg	相
xxgh	柙
xxh	械
xxhj	楔
xxl	杏
xxl;	枵
xxn	樨
xxnw	榍
xxo	楦
xxt	橡
xxw	榭
xxwn	皙檄
xy	新
xy.	燮
xy.m	序
xy/	玄
xyf	庥
xyg	畜
xygx	席
xyi	庠
xyj	辛
xyl	享
xyll	襄
xyq	效
xyqa	冼
xyqm	旋
xyt	癣
xytf	歆
xytt	廨
xyu	亵
xyub	痫
xyy	痃
xz	销
xze	锨
xzq	锈
xzqa	铣
xzs	锡
xzy	锌
xzy,	镟
xzy/	铉
xzyl	镶
y	一
y,	盈
y,.	妤
y,;	姨
y,g	姻
y,h	妍
y,j	嫣
y,jf	娅
y,k	妪
y,l	娱
y,m	孕
y,q	妖
y,r	姚
y,ri	媛
y.	又
y.,	勇
y..	羽
y.f	以
y.g	翼
y.gh	甬
y.k	预
y.kx	羿
y.m	予
y.p	恿
y.q	矣
y.t	允
y.tg	豫
y.tp	鹬
y.y	翌
y/	约
y/,	幼
y/.	驭
y/.h	绎驿
y//	缘
y/f	验
y/g	缨
y/h	纭
y/hx	纡
y/i	彝
y/ik	缢
y/l	邕
y/v	幺
y;	与
y;,	轺
y;;	夷
y;d	牙
y;f	雅
y;k	尧
y;p	迓
y;q	医
y;qk	轶
y;t	鸦
y;tf	欤
y;tp	鸢
y;v	弋
y;vl	辕
ya	虞
yag	卣
yaj	龉
yb	乙
yb.	苡
yb.m	蓣
yb/	药
yb/u	萦
yb/z	蕴
yb;	芽
ybb	艺
ybf	莜
ybfh	蓥
ybg	英
ybgj	萤
ybgk	茵
ybh	莹
ybh.	芸
ybht	芫
ybhx	芋
ybi	荧
ybl	营
ybm	荫
ybq	莠
ybt	莺
ybt;	茚
ybtp	苑
ybtq	莸
ybv	茔
ybw	萸
yby	薏
yby,	菸
yc	源
yc.	涌
yc/	胤
ycb	滢
ycbp	潆
ycc	渊
yce	沂
ycf	渝
ycfz	瀹
ycg	油
ycgk	泱洇
ych	沅
ychj	滟
yci	洋
ycih	漾
ycik	溢
ycj	湮
yck	淹
yckv	涯
yco	演
ycp	泳
ycr	浴
ycri	淫
yct	沿
yctg	渔
yctq	漪
ycy	游
ycy,	淤
ycyb	瀛
ycyf	液
yd	月
yd;	胰
ydg	胭
ydi	媵
ydj	腰
ydn	膶
yds	刖
ydw	腴
ydy	腋
ydy/	臃
ydyi	臆
ye	役
yec	衍
yei	徉
yeiv	舣
yej	衙
yeq	御
yer	徭
yet	殷
yf	余
yf.	耀
yf.g	俑
yf;	伢
yfb	亿
yfd	攸
yfg	觎
yfi	仪
yfih	佯
yfj	俨
yfk	优
yfkd	侑
yfkl	佑
yfkp	伛
yfky	倚
yfl	俣
yfn	伊
yfp	愈
yfpo	悠
yfpv	逾
yfq	佚
yfr	佾
yft	仰
yfth	佣
yfy	依
yfz	偃
yfzl	龠
yg	因
yg,	婴
yg.	野
yg.g	蛹
yg.h	峄
yg.l	贻眙
yg/	幽
yg/p	黝蚴
yg;	蚜
yg;d	岈
yg;z	屿
ygf	嵛
ygfz	蝓
ygg	蚰
ygh	园
yghb	曳
yghx	禺
ygi	蚁
ygih	蛘
ygj	由
ygjm	崾
ygjn	圄
ygk	央
ygkd	囿
ygkl	岩
ygku	崦罨
ygkv	崖睚
ygkw	螈
ygl	圆
yglg	蝇
ygm	邮
ygn	眼
ygnm	蚓
ygp	遇
ygpo	愚
ygq	罂
ygqb	屹
ygr	峪
ygs	蜴
ygt	鸭
ygti	黟
ygtp	鸯鹦
ygtq	嶷
ygv	圉
ygw	蜒
ygy	蝣
ygz	蜮
yh	远
yh.	云
yh;	琊
yha	玉
yhb	瑛
yhf	瑜
yhg	盂
yhgf	璎
yhh	耘
yhi	琰
yhl	鼋
yhp	运
yhpv	迂
yhr	瑶
yhr;	珧
yhri	瑗
yhs	韫
yht	元
yhtm	艳
yhx	于
yi	义
yi,	炀
yi.	熠
yif	烨
yig	益
yigk	烟
yih	羊
yii	炎
yiih	烊
yiii	焱
yik	猷
yip	恙
yis	煜
yit	焰
yiw	养
yiw.	燠
yix	丫
yj	要
yj,	酉
yj;	焉
yjf	亚
yjfc	严
yjg	鞅
yjh	酝
yjj	酽
yjk	颐
yjl	燕
yjm	耶鄢鄞
yjmb	酏
yjmv	雨
yjy	懿
yjz	壹
yk	友
yk.	尤
yk.;	翳
yk;	砑
ykb	尢
ykd	有
ykf	雁
ykfp	餍
ykg	页
ykgf	赝
ykgh	奄
ykgk	殃
ykgt	砚
ykh	研
ykj	硬
ykjl	殪
ykk	厌
ykkg	靥
ykko	厣
ykl	右
yklg	殒
ykm	郁
ykp	愿
ykv	压
ykw	原
ykwn	魇
yl	员
yl.	踊
yl/	哟
yl/p	呦
yl/v	吆
yl;	呀
yl;;	咦
ylb	呓
ylc	霪
ylf	吟
ylfn	咿
ylfz	喻
ylg	咽
ylgf	嘤
ylgh	喁嘢
ylh	雩
ylj	叶
yljf	哑
yljl	噎
ylk	喐
ylm	郢郧
ylm;	邑
yln	吲
ylp	咏
ylq	跃
yly	咬
yly.	唷
ylyh	唁
ylyi	噫喑
ym	也
ymd	阴
ymg	隅
yml	陨
ymo	院
yms	阳
ymt	隐
yn	已
ynh	聿
yni	熨
ynij	粥
ynk	尹
ynkx	异
ynx	引
ynz	鬻
yo	宜
yo.	怡
yo.h	怿
yo/	窈
yob	忆
yoe	窳
yof	愉
yofz	窬
yog	寓
yogk	怏
yoh	宇
yoi	悦
yoj	寅
yok	忧
yokd	宥
yokk	恹
yol	悒
yop	恽
yoq	窑
yos	宴
yosg	愠
yoy	誉
yoyt	慵
yp	议
yp,	永
yp.	译
yp;	讶
ypf	谕
ypj	语
ypjg	谳
ypm	郓
ypo	谊
ypq	诱
ypr	裕
ypri	谣
yps	谒
ypt	冤
ypts	诣
ypw	谀
ypy	谚
yq	移
yqg	秧
yqgk	氤
yqh	竽
yqi	氧
yqj	氩
yqo	箢
yqp	迤
yqr	夭
yqs	氲
yqw	筵
yqy	毓
yr	欲
yrg	釉
yrh	爰
yrk	肴
yrm	爷
yrp	遥
yrr	爻
yrs	刈
yrt	鹞
yrt.	繇
yrtp	鹆
yrw	舀
ys	曰
ys.	曜
ys;	晕
yse	影
ysf	晔
ysg	映
ysi	业
ysm	邺
yso	晏
yst	易
ysty	昀
ysy	昱
yt	用
yt.	疑
yt.l	饴
yt.t	狁
ytf	馀
ytfh	狳
ytg	鱼
ytgh	眢
ytk	犹
ytk.	鱿
ytkg	颖颍
ytky	猗
ytm	印
ytn	肄
yto	夤
ytp	迎
ytpk	狱
ytpo	怨
ytpv	逸
ytq	饫
ytr	鳐
ytt	饮
yttp	鸳
ytv	猿
yty	匀
ytyh	狺
ytyt	鳙
yu	摇
yu,	扬
yu/	掾
yu;	揠
yuf	揄
yug	押
yugf	撄
yuh	闫
yui	阅
yuj	揶
yuk	掩
yuku	阉
yul	揖
yulm	挹
yur	援
yut	拥
yutm	抑
yutw	阎
yuy	掖
yuy,	阏
yuz	阈
yv	越
yvg	盐
yvj	垭
yvjm	堙
yvk	塬
yvl	袁
yvn	垠
yvnb	圯
yvo	垸
yvs	埸
yvy	墉
yvz	域
yvzs	垣堰
yw	延
yw;	粤
yw;z	臾
ywg	岳
ywgj	鼬
ywk	舁
ywn	禹
ywp	邀
ywpk	牖
ywr	舆
yws	劓
ywso	鼹
yx	样
yx,	杨
yx,.	楹
yx/	橼
yxf	榆
yxg	樱
yxgj	柚
yxj	椰
yxjf	桠
yxk	椅
yxs	杳
yxt	檐
yxv	樾
yy	应
yy,	疡
yy.	冶
yy.;	翊
yy.t	兖
